Item,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Brand_A_Jan,Brand_A_Feb,Brand_A_Mar,Brand_A_Apr,Brand_A_May,Brand_A_Jun,Brand_A_Jul,Brand_A_Aug,Brand_A_Sep,Brand_A_Oct,Brand_A_Nov,Brand_A_Dec,Brand_B_Jan,Brand_B_Feb,Brand_B_Mar,Brand_B_Apr,Brand_B_May,Brand_B_Jun,Brand_B_Jul,Brand_B_Aug,Brand_B_Sep,Brand_B_Oct,Brand_B_Nov,Brand_B_Dec,Brand_C_Jan,Brand_C_Feb,Brand_C_Mar,Brand_C_Apr,Brand_C_May,Brand_C_Jun,Brand_C_Jul,Brand_C_Aug,Brand_C_Sep,Brand_C_Oct,Brand_C_Nov,Brand_C_Dec
Bread,71,34,91,80,40,94,94,43,22,41,72,21,26,30,16,51,3,62,82,26,5,7,67,13,51,6,67,78,27,42,67,10,17,2,9,8,0,0,8,0,10,0,0,7,0,32,0,0
Milk,49,57,21,83,79,40,52,95,77,41,68,78,43,26,3,43,64,23,41,34,21,30,54,75,40,55,5,32,52,27,28,16,66,13,42,20,0,0,13,8,0,0,0,45,0,0,0,0
Eggs,61,79,99,34,81,81,66,81,70,74,83,22,47,75,1,7,6,42,59,60,54,64,44,3,23,42,19,17,64,6,54,23,15,31,70,5,0,0,79,10,11,33,0,0,1,0,0,14
Bananas,70,26,40,92,58,37,23,79,33,28,72,21,62,19,27,19,54,28,3,76,31,5,35,5,51,18,21,57,50,2,16,67,7,26,50,16,0,0,0,16,0,7,4,0,0,0,0,0
Chicken,79,90,63,27,66,54,97,55,69,23,21,25,37,63,4,3,6,27,64,50,50,11,6,6,29,29,28,11,64,21,44,52,42,3,1,14,13,0,31,13,0,6,0,0,0,9,14,5
Rice,73,23,73,82,37,63,53,93,81,33,67,34,70,10,11,59,3,20,36,47,66,15,18,1,35,7,31,69,23,1,17,84,61,17,43,25,0,6,31,0,11,42,0,0,0,1,6,8
Christmas Pudding,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
Suncream,0,0,0,30,50,80,100,70,50,20,0,0,0,0,0,8,17,72,3,42,43,12,0,0,0,0,0,12,13,20,66,22,35,17,0,0,0,0,0,10,20,0,31,6,0,0,0,0
Cereal,91,97,81,59,99,72,43,45,79,60,48,34,37,60,44,35,61,35,20,28,57,7,32,12,58,90,9,27,72,14,26,13,19,45,30,1,0,0,28,0,0,23,0,4,3,8,0,21
Toothpaste,64,84,90,28,20,27,82,30,27,54,54,52,2,78,20,1,7,17,13,18,20,1,14,23,9,3,80,4,3,11,41,22,22,46,47,27,53,3,0,23,10,0,28,0,0,7,0,2
